# Filename: 2DKT_FPquench_vsl_T_1_0.1_lmax10_dl0.001_tmax10_dt01e-05_BC3_dbug.dat
# Source: 2DKT_FPquench.c
# Source version: 4 (2011 May 26 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: BC=3, iTfrac=1, qTfrac=0.1, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=100, tmax=10, dt0=1e-05, a0=1, a02=1, a04=1, K0c=0.747853

# time step n_t = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.1	0.9	0	7.47853	1	575.935
0.1	0.9	0.001	-2.4455e+37	-3.27003e+36	519.201
0.1	0.9	0.002	-inf	-inf	-1233.54
0.1	0.9	0.003	-nan	-nan	1379.43
0.1	0.9	0.004	-nan	-nan	-1090.25
0.1	0.9	0.005	-nan	-nan	654.204
0.1	0.9	0.006	-nan	-nan	-304.098
0.1	0.9	0.007	-nan	-nan	107.874
0.1	0.9	0.008	-nan	-nan	-28.477
0.1	0.9	0.009	-nan	-nan	5.28776
0.1	0.9	0.01	-nan	-nan	-0.617927
0.1	0.9	0.011	-nan	-nan	0.0349288
0.1	0.9	0.012	-nan	-nan	0.000578266
0.1	0.9	0.013	-nan	-nan	0.0005865
0.1	0.9	0.014	-nan	-nan	0.000573016
0.1	0.9	0.1	-nan	-nan	0.000387304
0.1	0.9	0.2	-nan	-nan	0.00024338
0.1	0.9	0.3	-nan	-nan	0.000153256
0.1	0.9	0.4	-nan	-nan	9.66824e-05
0.1	0.9	0.5	-nan	-nan	6.11022e-05
0.1	0.9	0.6	-nan	-nan	3.86823e-05
0.1	0.9	0.7	-nan	-nan	2.45289e-05
0.1	0.9	0.8	-nan	-nan	1.55784e-05
0.1	0.9	0.9	-nan	-nan	9.90854e-06
0.1	0.9	1	-nan	-nan	6.31116e-06
0.1	0.9	1.1	-nan	-nan	4.02523e-06
0.1	0.9	1.2	-nan	-nan	2.57054e-06
0.1	0.9	1.3	-nan	-nan	1.64356e-06
0.1	0.9	1.4	-nan	-nan	1.05208e-06
0.1	0.9	1.5	-nan	-nan	6.74198e-07
0.1	0.9	1.6	-nan	-nan	4.32496e-07
0.1	0.9	1.7	-nan	-nan	2.77723e-07
0.1	0.9	1.8	-nan	-nan	1.78507e-07
0.1	0.9	1.9	-nan	-nan	1.14841e-07
0.1	0.9	2	-nan	-nan	7.39465e-08
0.1	0.9	2.1	-nan	-nan	4.76543e-08
0.1	0.9	2.2	-nan	-nan	3.07351e-08
0.1	0.9	2.3	-nan	-nan	1.98382e-08
0.1	0.9	2.4	-nan	-nan	1.28142e-08
0.1	0.9	2.5	-nan	-nan	8.28299e-09
0.1	0.9	2.6	-nan	-nan	5.35773e-09
0.1	0.9	2.7	-nan	-nan	3.46784e-09
0.1	0.9	2.8	-nan	-nan	2.24601e-09
0.1	0.9	2.9	-nan	-nan	1.45556e-09
0.1	0.9	3	-nan	-nan	9.43853e-10
0.1	0.9	3.1	-nan	-nan	6.12385e-10
0.1	0.9	3.2	-nan	-nan	3.97541e-10
0.1	0.9	3.3	-nan	-nan	2.58208e-10
0.1	0.9	3.4	-nan	-nan	1.67795e-10
0.1	0.9	3.5	-nan	-nan	1.09095e-10
0.1	0.9	3.6	-nan	-nan	7.09639e-11
0.1	0.9	3.7	-nan	-nan	4.61819e-11
0.1	0.9	3.8	-nan	-nan	3.00677e-11
0.1	0.9	3.9	-nan	-nan	1.95848e-11
0.1	0.9	4	-nan	-nan	1.27621e-11
0.1	0.9	4.1	-nan	-nan	8.31957e-12
0.1	0.9	4.2	-nan	-nan	5.42567e-12
0.1	0.9	4.3	-nan	-nan	3.53976e-12
0.1	0.9	4.4	-nan	-nan	2.31024e-12
0.1	0.9	4.5	-nan	-nan	1.50834e-12
0.1	0.9	4.6	-nan	-nan	9.85134e-13
0.1	0.9	4.7	-nan	-nan	6.43637e-13
0.1	0.9	4.8	-nan	-nan	4.20661e-13
0.1	0.9	4.9	-nan	-nan	2.75021e-13
0.1	0.9	5	-nan	-nan	1.79861e-13
0.1	0.9	5.1	-nan	-nan	1.17664e-13
0.1	0.9	5.2	-nan	-nan	7.69984e-14
0.1	0.9	5.3	-nan	-nan	5.04019e-14
0.1	0.9	5.4	-nan	-nan	3.30018e-14
0.1	0.9	5.5	-nan	-nan	2.16147e-14
0.1	0.9	5.6	-nan	-nan	1.41606e-14
0.1	0.9	5.7	-nan	-nan	9.27956e-15
0.1	0.9	5.8	-nan	-nan	6.08257e-15
0.1	0.9	5.9	-nan	-nan	3.98803e-15
0.1	0.9	6	-nan	-nan	2.61539e-15
0.1	0.9	6.1	-nan	-nan	1.71562e-15
0.1	0.9	6.2	-nan	-nan	1.12566e-15
0.1	0.9	6.3	-nan	-nan	7.38748e-16
0.1	0.9	6.4	-nan	-nan	4.84934e-16
0.1	0.9	6.5	-nan	-nan	3.18395e-16
0.1	0.9	6.6	-nan	-nan	2.09095e-16
0.1	0.9	6.7	-nan	-nan	1.37345e-16
0.1	0.9	6.8	-nan	-nan	9.02349e-17
0.1	0.9	6.9	-nan	-nan	5.92958e-17
0.1	0.9	7	-nan	-nan	3.89726e-17
0.1	0.9	7.1	-nan	-nan	2.56201e-17
0.1	0.9	7.2	-nan	-nan	1.68455e-17
0.1	0.9	7.3	-nan	-nan	1.10782e-17
0.1	0.9	7.4	-nan	-nan	7.2868e-18
0.1	0.9	7.5	-nan	-nan	4.79381e-18
0.1	0.9	7.6	-nan	-nan	3.15429e-18
0.1	0.9	7.7	-nan	-nan	2.07586e-18
0.1	0.9	7.8	-nan	-nan	1.36637e-18
0.1	0.9	7.9	-nan	-nan	8.99523e-19
0.1	0.9	8	-nan	-nan	5.92279e-19
0.1	0.9	8.1	-nan	-nan	3.90041e-19
0.1	0.9	8.2	-nan	-nan	2.569e-19
0.1	0.9	8.3	-nan	-nan	1.69233e-19
0.1	0.9	8.4	-nan	-nan	1.11499e-19
0.1	0.9	8.5	-nan	-nan	7.3472e-20
0.1	0.9	8.6	-nan	-nan	4.84214e-20
0.1	0.9	8.7	-nan	-nan	3.19165e-20
0.1	0.9	8.8	-nan	-nan	2.10404e-20
0.1	0.9	8.9	-nan	-nan	1.38725e-20
0.1	0.9	9	-nan	-nan	9.14777e-21
0.1	0.9	9.1	-nan	-nan	6.033e-21
0.1	0.9	9.2	-nan	-nan	3.97933e-21
0.1	0.9	9.3	-nan	-nan	2.62508e-21
0.1	0.9	9.4	-nan	-nan	1.73193e-21
0.1	0.9	9.5	-nan	-nan	1.14281e-21
0.1	0.9	9.6	-nan	-nan	7.54171e-22
0.1	0.9	9.7	-nan	-nan	4.9776e-22
0.1	0.9	9.8	-nan	-nan	3.28566e-22
0.1	0.9	9.9	-nan	-nan	2.16908e-22
0.1	0.9	10	-nan	-nan	1.40894e-22
